KGDS/BÖLGE;1;2;3;4;5;6;7;8;9;;;;;;;;;;;;;
53,0 kg;387,94;482,36;482,02;596,06;626,65;774,56;774,56;774,56;966,68;;;;;;;;;;;;;
54,0 kg;394,41;490,59;490,25;606,66;638,43;792,20;792,20;792,20;990,20;;;;;;;;;;;;;
55,0 kg;400,88;498,82;498,48;617,26;650,21;809,85;809,85;809,85;1013,73;;;;;;;;;;;;;
56,0 kg;407,36;507,05;506,71;627,85;661,99;827,49;827,49;827,49;1037,25;;;;;;;;;;;;;
57,0 kg;413,83;515,28;514,94;638,45;673,77;845,14;845,14;845,14;1060,78;;;;;;;;;;;;;
58,0 kg;420,30;523,51;523,17;649,04;685,55;862,78;862,78;862,78;1084,30;;;;;;;;;;;;;
59,0 kg;426,78;531,74;531,40;659,64;697,33;880,42;880,42;880,42;1107,83;;;;;;;;;;;;;
60,0 kg;433,25;539,97;539,63;670,24;709,11;898,07;898,07;898,07;1131,35;;;;;;;;;;;;;
61,0 kg;439,72;548,20;547,86;680,83;720,89;915,71;915,71;915,71;1154,88;;;;;;;;;;;;;
62,0 kg;446,19;556,43;556,09;691,43;732,67;933,35;933,35;933,35;1178,40;;;;;;;;;;;;;
63,0 kg;452,67;564,66;564,32;702,03;744,45;951,00;951,00;951,00;1201,93;;;;;;;;;;;;;
64,0 kg;459,14;572,89;572,56;712,62;756,22;968,64;968,64;968,64;1225,45;;;;;;;;;;;;;
65,0 kg;465,61;581,12;580,79;723,22;768,00;986,28;986,28;986,28;1248,98;;;;;;;;;;;;;
66,0 kg;472,08;589,35;589,02;733,81;779,78;1003,93;1003,93;1003,93;1272,50;;;;;;;;;;;;;
67,0 kg;478,56;597,58;597,25;744,41;791,56;1021,57;1021,57;1021,57;1296,03;;;;;;;;;;;;;
68,0 kg;485,03;605,81;605,48;755,01;803,34;1039,21;1039,21;1039,21;1319,55;;;;;;;;;;;;;
69,0 kg;491,50;614,04;613,71;765,60;815,12;1056,86;1056,86;1056,86;1343,08;;;;;;;;;;;;;
70,0 kg;497,98;622,27;621,94;776,20;826,90;1074,50;1074,50;1074,50;1366,60;;;;;;;;;;;;; 
